customerid,amt_1m,amt_2m,amt_3m,cnt_1m,cnt_3m,cnt_1m,amt_com_1m,amt_com_2m,amt_com_3m,distance,buy
1,32.736,0,0,1,0,0,17.32,0,0,94.18313013,0
2,2.17,0,0,1,0,0,5.59,0,0,120.720139,0
3,80.432,0,0,2,0,0,37.3,0,0,62.729801,0
4,80.432,0,0,2,0,0,37.3,0,0,62.729801,0
5,79.344,28.124,0,3,2,0,43.94,18.98,0,9.09709,1
6,2.31,12.124,0,1,2,0,5.62,16.01,0,0.281085,0
7,28.23,0,0,1,0,0,15.57,0,0,4.979997,0
8,50.036,0,0,1,0,0,19.26,0,0,37.889759,0
9,47.002,38.756,0,2,2,0,27.07,22.16,0,13.85452533,0
10,65.472,0,0,2,0,0,32.09,0,0,394.729614,0
11,65.472,0,0,2,0,0,32.09,0,0,394.729614,0
12,44.924,0,0,3,0,0,17.58,0,0,18.478615,0
13,25.133,0,0,1,0,0,16.34,0,0,476.643829,0
14,48.462,0,0,1,0,0,23.19,0,0,215.811829,0
15,107.413,28.124,0,9,2,0,85.29,18.88,0,75.74354442,0
16,107.413,28.124,0,9,2,0,85.29,18.88,0,75.74354442,0
17,28.798,10.398,0,1,1,0,15.85,8.31,0,3.977339,0
18,115.678,0,0,2,0,0,36.2,0,0,2.98903,1
19,40.216,0,0,1,0,0,20.11,0,0,204.251862,0
20,23.945,62.045,149.828,1,6,9,11.87,52.55,99.96,22.754585,1
21,22.916,0,0,1,0,0,15.35,0,0,77.887695,0
22,15.062,16.432,0,1,1,0,8.49,8.6,0,32.55755042,1
23,27.445,32.736,32.736,1,1,1,16.74,20.94,15.24,536.315491,0
24,59.965,0,0,1,0,0,22.06,0,0,475.762665,0
25,85.262,220.62,4.457,5,12,1,49.13,146.03,7.23,7.296004,0
26,85.262,220.62,4.457,5,12,1,49.13,146.03,7.23,7.296004,0
27,42.615,22.866,8.53,1,2,1,21,19.5,7.51,2.87642,1
28,9.096,0,0,1,0,0,9.17,0,0,1.132143,0
29,9.318,0,0,2,0,0,13.08,0,0,72.69994708,0
30,40.216,0,0,1,0,0,17.52,0,0,335.314789,0
31,40.638,0,0,2,0,0,19.08,0,0,15.237599,0
32,113.108,12.987,48.01,2,1,1,50.66,9.95,18.68,104.530891,0
33,32.736,32.736,0,1,1,0,15.21,14.36,0,438.78299,0
34,32.736,32.736,0,1,1,0,15.21,14.36,0,438.78299,0
35,40.216,0,0,1,0,0,23.09,0,0,203.169861,0
36,24.49,0,0,1,0,0,13.91,0,0,47.58215,0
37,19.869,0,0,1,0,0,10.72,0,0,94.18313013,0
38,38.12,0,0,2,0,0,20.98,0,0,94.18313013,0
39,72.979,47.138,0,2,1,0,39.54,28.55,0,367.888824,1
40,95.998,0,0,2,0,0,38.9,0,0,143.5017773,0
41,72.952,62.843,0,1,3,0,31.02,31.22,0,41.23391,0
42,25.133,0,0,1,0,0,12.21,0,0,67.576744,0
43,74.098,46.081,0,2,2,0,33.08,25.88,0,144.347473,0
44,74.098,46.081,0,2,2,0,33.08,25.88,0,144.347473,0
45,40.705,0,0,2,0,0,27.47,0,0,6.314507,0
46,30.548,0,0,2,0,0,21.4,0,0,9.260157,0
47,43.793,15.274,0,3,1,0,29.01,10,0,4.542284,0
48,43.793,15.274,0,3,1,0,29.01,10,0,4.542284,0
49,429.652,267.533,270.638,16,8,9,214.69,117.5,104.65,23.469946,1
50,429.652,267.533,270.638,16,8,9,214.69,117.5,104.65,23.469946,1
51,9.909,0,0,1,0,0,7.9,0,0,5.316143,0
52,25.133,0,0,1,0,0,12.21,0,0,94.18313013,0
53,72.952,0,0,1,0,0,27.63,0,0,300.382629,0
54,94.751,214.931,0,5,6,0,61.71,109.8,0,15.66662233,1
55,16.059,0,0,1,0,0,11.09,0,0,5.183119,0
56,14.062,0,0,1,0,0,9.44,0,0,14.354465,0
57,16.693,0,0,1,0,0,8.6,0,0,449.498535,0
58,32.736,0,0,1,0,0,14.36,0,0,478.378815,0
59,64.422,211.739,73.022,1,6,3,33.92,93.21,34.78,18.049019,0
60,64.422,211.739,73.022,1,6,3,33.92,93.21,34.78,18.049019,0
61,97.442,0,0,2,0,0,51.14,0,0,319.470459,0
62,11.268,0,0,1,0,0,9.31,0,0,267.764038,0
63,1.93,0,0,1,0,0,5.53,0,0,16.226643,0
64,12.987,54.772,0,1,4,0,8.77,35.01,0,263.17395,0
65,12.987,54.772,0,1,4,0,8.77,35.01,0,263.17395,0
66,12.89,0,0,1,0,0,10.57,0,0,2.677504,0
67,7.555,0,0,1,0,0,7.24,0,0,541.76947,0
68,80.432,40.216,0,2,1,0,31.66,17.52,0,94.18313013,0
69,43.272,35.004,0,1,1,0,17.34,12.97,0,3.595248,0
70,18.989,0,0,1,0,0,10,0,0,284.477661,0
71,38.713,44.004,0,1,1,0,19.03,18.69,0,58.100761,0
72,38.713,44.004,0,1,1,0,19.03,18.69,0,58.100761,0
73,32.736,32.736,0,1,1,0,12.46,15.21,0,65.834557,0
74,24.517,0,0,1,0,0,15.5,0,0,42.62019508,0
75,25.133,0,0,1,0,0,12.21,0,0,110.48761,0
76,72.952,72.952,0,1,1,0,31.34,32.33,0,28.370768,0
77,72.952,72.952,0,1,1,0,31.34,32.33,0,28.370768,0
78,22.216,0,0,1,0,0,11.38,0,0,83.356949,0
79,19.195,43.919,0,2,3,0,17.89,35.28,0,5.815856,0
80,19.195,43.919,0,2,3,0,17.89,35.28,0,5.815856,0
81,62.449,25.133,29.886,3,1,2,32.1,16.34,17.53,3.663539,0
82,62.449,25.133,29.886,3,1,2,32.1,16.34,17.53,3.663539,0
83,72.952,0,0,1,0,0,27.63,0,0,142.724716,0
84,177.253,450.061,804.008,8,19,27,100.61,194.79,358.38,10.853362,0
85,177.253,450.061,804.008,8,19,27,100.61,194.79,358.38,10.853362,0
86,26.754,0,0,1,0,0,16.45,0,0,1.911446,0
87,60.258,0,0,2,0,0,34.16,0,0,271.704193,0
88,109.152,0,0,2,0,0,47.21,0,0,24.669676,0
89,72.952,107.964,253.868,1,1,3,27.9,38.44,114.35,76.366211,1
90,72.952,107.964,253.868,1,1,3,27.9,38.44,114.35,76.366211,1
91,45.594,0,0,3,0,0,30.83,0,0,72.343781,1
92,65.158,0,0,2,0,0,26.54,0,0,38.63909375,0
93,25.133,0,0,1,0,0,12.21,0,0,456.612305,0
94,107.964,0,0,1,0,0,31.54,0,0,51.738369,0
95,16.979,0,0,2,0,0,16.08,0,0,9.123773,0
96,83.743,192.306,167.698,7,15,14,70.34,164.7,150.51,8.326612,0
97,67.748,121.434,0,1,2,0,29.9,50.15,0,322.671051,0
98,6.062,0,0,1,0,0,7.28,0,0,46.882904,0
99,145.904,0,0,2,0,0,53.37,0,0,357.47818,1
100,25.777,24.169,15.274,2,1,1,19.08,15.27,8.53,16.602777,0
101,25.777,24.169,15.274,2,1,1,19.08,15.27,8.53,16.602777,0
102,22.438,0,0,2,0,0,19.67,0,0,94.18313013,0
103,32.736,0,0,1,0,0,17.32,0,0,47.080959,0
104,802.444,495.288,0,20,12,0,407.5,269.81,0,9.595527,1
105,802.444,495.288,0,20,12,0,407.5,269.81,0,9.595527,1
106,25.133,0,0,1,0,0,16.34,0,0,94.18313013,0
107,5.037,24.517,0,1,1,0,6.23,15.5,0,16.986097,0
108,2.917,0,0,1,0,0,5.76,0,0,94.18313013,0
109,57.869,67.748,0,2,1,0,28.07,28.06,0,129.664352,0
110,18.56,12.458,21.776,2,2,4,18.28,13.21,30.34,5.607147,0
111,25.133,0,0,1,0,0,12.21,0,0,286.358643,0
112,139.24,0,0,2,0,0,62.56,0,0,94.18313013,1
113,32.616,24.348,0,2,2,0,18.28,17.81,0,106.615059,0
114,50.825,3.235,0,1,1,0,23.78,6.1,0,1.867468,0
115,50.825,3.235,0,1,1,0,23.78,6.1,0,1.867468,0
116,12.987,0,0,1,0,0,8.77,0,0,94.18313013,0
117,83.022,0,0,1,0,0,30.74,0,0,10.249462,0
118,50.266,0,0,2,0,0,24.42,0,0,121.909317,0
119,6.062,0,0,1,0,0,6.46,0,0,17.051189,0
120,2.103,0,0,1,0,0,5.88,0,0,7.076719,0
121,22.216,0,0,1,0,0,13.39,0,0,78.746727,0
122,2.917,0,0,1,0,0,6,0,0,7.876814,0
123,12.987,0,0,1,0,0,9.11,0,0,290.77655,0
124,15.148,0,0,1,0,0,9.39,0,0,18.142281,0
125,215.928,48.462,0,2,1,0,86.96,20.07,0,71.265686,0
126,215.928,48.462,0,2,1,0,86.96,20.07,0,71.265686,0
127,5.291,0,0,1,0,0,6.29,0,0,94.18313013,0
128,92.964,0,0,2,0,0,39.74,0,0,3.418134,0
129,92.964,0,0,2,0,0,39.74,0,0,3.418134,0
130,54.801,40.216,0,3,1,0,32.67,20.11,0,75.348885,0
131,93.374,194.279,84.019,1,3,1,39.82,94.44,31.05,51.75042,0
132,93.374,194.279,84.019,1,3,1,39.82,94.44,31.05,51.75042,0
133,63.986,0,0,2,0,0,35.07,0,0,10.301327,0
134,43.716,0,0,1,0,0,17.47,0,0,14.198038,0
135,72.952,72.952,0,1,1,0,25.74,27.63,0,102.430519,0
136,72.952,72.952,0,1,1,0,25.74,27.63,0,102.430519,0
137,72.952,107.964,0,1,1,0,32.33,46.94,0,268.647247,0
138,67.748,0,0,1,0,0,20.33,0,0,73.911209,0
139,7.555,0,0,1,0,0,6.8,0,0,94.18313013,0
140,47.89,0,0,2,0,0,23.88,0,0,330.645721,0
141,2.31,0,0,1,0,0,5.62,0,0,2.243806,0
142,24.49,0,0,1,0,0,12.66,0,0,11.770355,0
143,28.948,0,0,1,0,0,13.29,0,0,467.494751,0
144,14.59,23.945,32.362,1,1,1,8.38,10.75,18.09,12.067339,0
145,19.869,62.561,111.034,1,6,9,12.25,27.91,50.44,43.35941175,1
146,19.869,62.561,111.034,1,6,9,12.25,27.91,50.44,43.35941175,1
147,72.952,98.014,0,1,2,0,32.33,43.62,0,35.763683,0
148,72.952,98.014,0,1,2,0,32.33,43.62,0,35.763683,0
149,16.045,25.133,0,1,1,0,8.6,12.86,0,94.18313013,0
150,65.472,0,0,2,0,0,34.19,0,0,94.18313013,0
151,51.514,0,0,2,0,0,24.77,0,0,1.716772,0
152,14.862,0,0,1,0,0,11.4,0,0,34.66576575,0
153,37.17,0,0,1,0,0,18.47,0,0,5.78924,0
154,95.998,0,0,2,0,0,31.78,0,0,47.772583,0
155,48.462,0,0,1,0,0,22.86,0,0,162.757217,0
156,18.989,0,0,1,0,0,8.6,0,0,94.18313013,0
157,13.65,0,0,1,0,0,10.01,0,0,16.728979,0
158,260.75,0,0,4,0,0,110.88,0,0,94.18313013,0
159,59.965,59.965,0,1,1,0,22.06,18.58,0,303.39112,0
160,59.965,59.965,0,1,1,0,22.06,18.58,0,303.39112,0
161,16.118,0,0,1,0,0,10,0,0,466.835846,0
162,8.246,0,0,1,0,0,6.95,0,0,415.548523,0
163,41.754,0,0,3,0,0,28.26,0,0,34.938896,0
164,41.754,0,0,3,0,0,28.26,0,0,34.938896,0
165,32.045,32.736,32.736,1,1,1,14.17,15.21,19.05,174.78096,0
166,32.045,32.736,32.736,1,1,1,14.17,15.21,19.05,174.78096,0
167,1180.149,1474.059,1381.551,24,31,28,525.86,721.15,680.64,6.989869,1
168,84.019,0,0,1,0,0,23.99,0,0,76.309769,0
169,6.062,0,0,1,0,0,7.28,0,0,151.792404,0
170,11.627,23.13,27.587,1,1,1,9.44,10.63,11.87,0.383781,0
171,25.133,0,0,1,0,0,10.75,0,0,176.495209,0
172,93.902,0,0,1,0,0,39.86,0,0,5.434886,0
173,40.313,40.313,0,1,1,0,22.16,22.16,0,3.939943,0
174,40.313,40.313,0,1,1,0,22.16,22.16,0,3.939943,0
175,50.554,0,0,3,0,0,27.93,0,0,454.677948,0
176,13.65,0,0,1,0,0,10.19,0,0,5.356359,0
177,4.621,0,0,1,0,0,6.82,0,0,286.989502,0
178,19.749,0,0,1,0,0,9.54,0,0,11.64723,0
179,8.246,0,0,1,0,0,8.6,0,0,52.540646,0
180,21.308,0,0,1,0,0,9.89,0,0,7.092429,0
181,3.381,0,0,1,0,0,6.61,0,0,9.055799,0
182,18.989,0,0,1,0,0,10,0,0,5.366241,0
183,102.218,0,0,2,0,0,52.63,0,0,7.705212,0
184,16.607,90.452,84.885,2,5,5,14.9,47.34,54.92,12.218681,0
185,4.621,53.994,0,1,2,0,7.06,27.78,0,2.931679,0
186,24.517,0,0,1,0,0,10.61,0,0,94.18313013,0
187,11.627,0,0,1,0,0,9.44,0,0,17.245165,0
188,12.89,0,0,1,0,0,8.75,0,0,32.41234908,0
189,45.375,0,0,1,0,0,21.91,0,0,37.31103375,0
190,65.098,0,0,1,0,0,34.22,0,0,94.18313013,0
191,140.911,0,0,2,0,0,53.72,0,0,50.671135,0
192,96.924,0,0,2,0,0,36.06,0,0,459.175964,0
193,6.882,6.882,0,1,1,0,8.18,8.18,0,8.417681,0
194,44.004,0,0,1,0,0,18.69,0,0,57.327118,0
195,4.621,0,0,1,0,0,6.14,0,0,7.815475,0
196,12.987,12.987,0,1,1,0,10.41,10.41,0,3.090626,0
197,12.987,12.987,0,1,1,0,10.41,10.41,0,3.090626,0
198,40.65,0,0,3,0,0,15.77,0,0,19.361776,0
199,5.385,0,0,1,0,0,7.51,0,0,3.495,0
200,34.181,59.965,24.206,3,1,1,24.5,27.48,10.54,63.79354975,0
201,34.181,59.965,24.206,3,1,1,24.5,27.48,10.54,63.79354975,0
202,49.007,145.904,0,1,2,0,18.96,39.04,0,117.990662,0
203,49.007,145.904,0,1,2,0,18.96,39.04,0,117.990662,0
204,2.917,0,0,1,0,0,6,0,0,5.19462,0
205,43.204,0,0,1,0,0,22.85,0,0,17.362299,0
206,22.837,0,0,2,0,0,12.38,0,0,5.142625,0
207,25.133,0,0,1,0,0,16.34,0,0,121.965843,0
208,119.93,0,0,2,0,0,44.12,0,0,18.596117,0
209,127.013,0,0,3,0,0,58.01,0,0,317.1158683,1
210,56.253,0,0,2,0,0,27.47,0,0,344.012848,0
211,39.6,0,0,2,0,0,26.24,0,0,94.18313013,0
212,88.302,0,0,2,0,0,35.18,0,0,51.127934,1
213,32.947,15.997,0,1,1,0,15.27,13.18,0,2.863436,0
214,3.381,0,0,1,0,0,5.86,0,0,1.555523,0
215,7.175,8.246,0,1,1,0,7.13,8.83,0,94.18313013,0
216,19.199,0,0,1,0,0,10.53,0,0,105.319092,0
217,3.381,0,0,1,0,0,6.06,0,0,25.723701,0
218,82.831,0,0,1,0,0,30.68,0,0,310.648621,0
219,82.166,231.238,52.493,5,13,9,50.76,99.56,27.69,19.140558,0
220,6.144,0,0,1,0,0,6.48,0,0,1.712977,1
221,16.693,0,0,1,0,0,4.5,0,0,14.742759,0
222,3.381,0,0,1,0,0,6.14,0,0,1.569334,0
223,215.928,40.216,0,2,1,0,74.08,21.75,0,9.515985,0
224,215.928,40.216,0,2,1,0,74.08,21.75,0,9.515985,0
225,100.843,76.552,0,9,4,0,77.34,46.6,0,94.18313013,0
226,50.266,0,0,2,0,0,27.09,0,0,296.945801,0
227,14.062,0,0,1,0,0,8.26,0,0,141.579742,0
228,109.699,23.945,0,5,1,0,58.21,14.04,0,60.571873,0
229,22.962,0,0,2,0,0,18.03,0,0,46.630535,0
230,12.94,41.889,0,2,4,0,13.55,28.01,0,8.565525,1
231,52.114,24.49,0,1,1,0,21.19,14.24,0,207.718735,0
232,47.946,0,0,2,0,0,22.46,0,0,118.410545,0
233,35.012,72.952,0,1,1,0,15,27.64,0,10.203994,0
234,24.49,0,0,1,0,0,10.61,0,0,94.18313013,0
235,3.381,0,0,1,0,0,6.14,0,0,7.588421,0
236,35.094,0,0,1,0,0,12.99,0,0,1.950412,0
237,35.012,0,0,1,0,0,18.17,0,0,127.487854,0
238,45.852,0,0,1,0,0,24.55,0,0,41.54907508,0
239,3.381,0,0,1,0,0,6.14,0,0,7.6373,0
240,74.11,25.133,0,4,1,0,42.84,13.81,0,94.18313013,0
241,56.259,0,0,1,0,0,21.02,0,0,73.626144,0
242,67.661,23.945,23.945,1,1,1,25.99,10.48,11.87,13.417061,1
243,20.798,0,0,1,0,0,11.52,0,0,7.746252,0
244,17.927,0,0,1,0,0,8.6,0,0,12.943818,0
245,71.315,0,0,7,0,0,56.41,0,0,317.234161,0
246,71.315,0,0,7,0,0,56.41,0,0,317.234161,0
247,25.133,0,0,1,0,0,14.48,0,0,94.18313013,0
248,25.133,0,0,1,0,0,12.86,0,0,7.634859,0
249,65.472,0,0,2,0,0,34.19,0,0,279.141724,0
250,65.472,0,0,2,0,0,34.19,0,0,279.141724,0
251,24.348,115.508,0,2,5,0,17.72,54.47,0,66.50590908,1
252,16.576,0,0,2,0,0,16.38,0,0,17.050932,0
253,16.576,0,0,2,0,0,16.38,0,0,17.050932,0
254,106.478,40.734,4.152,8,4,2,34.93,19.13,3.13,1.791479,1
255,55.49,0,0,3,0,0,31.21,0,0,306.209839,0
256,10.086,0,0,1,0,0,7.95,0,0,1.947319,0
257,25.133,60.145,0,1,2,0,12.86,32.25,0,94.18313013,0
258,107.964,0,0,1,0,0,52.04,0,0,75.101463,0
259,19.378,0,0,1,0,0,9.46,0,0,78.16167575,0
260,25.133,0,0,1,0,0,14.14,0,0,55.189293,0
